"","X","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","block","chl.ugcm2","chlA.ug.sample","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.chl.ug.hr","Rate.ln"
"206",206,"PV19_D_38_O2",118.292398084677,-0.0162690524193548,38.1546530612245,"PV19_D","P. verrucosa","19",3,"D2",38,2021-03-24 09:44:00,2021-03-24 10:04:00,"dark","control",93.04,0.61,5,1.828595376,1.757483333,-0.00992412197580643,"0",-0.00178515328924344,-0.00813896868656299,16.6717298090171,NA
"207",207,"PV2_D_38_O2",131.398000050134,-0.0259519217914439,38.1833265306122,"PV2_D","P. verrucosa","2",4,"D2",38,2021-03-24 09:44:00,2021-03-24 10:04:00,"dark","enriched",89.68,0.56,1,1.973041625,1.748553333,-0.0145330762032086,"0",-0.00178515328924344,-0.0127479229139651,26.2459952602856,NA
"208",208,"PV23_D_38_O2",138.153480687165,-0.0181643505854032,37.993693877551,"PV23_D","P. verrucosa","23",9,"D2",38,2021-03-24 09:44:00,2021-03-24 10:04:00,"dark","control",116.12,0.61,6,1.131603404,1.526686667,-0.011080253857096,"0",-0.00178515328924344,-0.00929510056785251,21.9182906142908,NA
"209",209,"PV25_D_38_O2",137.181279467119,-0.0263267370609476,38.2779183673469,"PV25_D","P. verrucosa","25",1,"D2",38,2021-03-24 09:44:00,2021-03-24 10:04:00,"dark","control",64.52,0.61,7,1.462466532,2.2658,-0.016059309607178,"0",-0.00178515328924344,-0.0142741563179346,22.6793903895156,NA
"210",210,"PV7_D_38_O2",143.604882277992,-0.0121888416988417,38.0258775510204,"PV7_D","P. verrucosa","7",5,"D2",38,2021-03-24 09:44:00,2021-03-24 10:04:00,"dark","enriched",40.74,0.625,2,0.777062914,0.782243333,-0.00761802606177606,"0",-0.00178515328924344,-0.00583287277253262,26.8437468179961,NA
"213",213,"PV1_D_39_O2",136.973571572581,-0.0170827529325513,38.9900612244898,"PV1_D","P. verrucosa","1",8,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","enriched",72.49,0.59,1,1.289085072,1.522943333,-0.0100788242302053,"0",-0.00188759182401491,-0.00819123240619036,19.362793101564,NA
"214",214,"PV13_D_39_O2",131.257821965291,-0.0171709333958724,38.9277142857143,"PV13_D","P. verrucosa","13",2,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","enriched",53.73,0.6,4,2.121497161,1.888733333,-0.0103025600375234,"0",-0.00188759182401491,-0.00841496821350853,16.0392603017774,NA
"215",215,"PV17_D_39_O2",103.741365172414,-0.0193549388209121,38.9223469387755,"PV17_D","P. verrucosa","17",6,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","control",93.9,0.61,5,0.558705643,0.762736667,-0.0118065126807564,"0",-0.00188759182401491,-0.00991892085674147,46.8157840434191,NA
"216",216,"PV19_D_39_O2",110.745501726509,-0.0163445072574484,39.0398979591837,"PV19_D","P. verrucosa","19",3,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","control",93.04,0.61,5,1.828595376,1.757483333,-0.00997014942704352,"0",-0.00188759182401491,-0.00808255760302862,16.5561782718215,NA
"217",217,"PV2_D_39_O2",125.942146260504,-0.0241499019607843,39.0409795918367,"PV2_D","P. verrucosa","2",4,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","enriched",89.68,0.56,1,1.973041625,1.748553333,-0.0135239450980392,"0",-0.00188759182401491,-0.0116363532740243,23.9574458473138,NA
"218",218,"PV23_D_39_O2",131.073904069767,-0.0155668604651163,38.9093469387755,"PV23_D","P. verrucosa","23",9,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","control",116.12,0.61,6,1.131603404,1.526686667,-0.00949578488372094,"0",-0.00188759182401491,-0.00760819305970603,17.9404822266269,NA
"219",219,"PV25_D_39_O2",130.286776526611,-0.0236656022408964,39.1402653061225,"PV25_D","P. verrucosa","25",1,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","control",64.52,0.61,7,1.462466532,2.2658,-0.0144360173669468,"0",-0.00188759182401491,-0.0125484255429319,19.9374754852833,NA
"220",220,"PV7_D_39_O2",134.49774666975,-0.0120655103299414,38.8788571428571,"PV7_D","P. verrucosa","7",5,"D2",39,2021-03-24 10:23:00,2021-03-24 10:43:00,"dark","enriched",40.74,0.625,2,0.777062914,0.782243333,-0.00754094395621338,"0",-0.00188759182401491,-0.00565335213219847,26.0175661681408,NA
"223",223,"PV10_D_20_O2",200.902522190612,-0.0114069701280228,20.1951020408163,"PV10_D","P. verrucosa","10",7,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.00701528662873402,"0",-0.000109881346371702,-0.00690540528236232,11.0463573538032,NA
"224",224,"PV18_D_20_O2",216.050790459662,-0.0157872701688556,19.9238775510204,"PV18_D","P. verrucosa","18",9,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.00986704385553475,"0",-0.000109881346371702,-0.00975716250916305,25.7443034227153,NA
"225",225,"PV20_D_20_O2",221.029798235294,-0.0119763865546219,19.980612244898,"PV20_D","P. verrucosa","20",2,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.00730559579831936,"0",-0.000109881346371702,-0.00719571445194766,25.81036419769,NA
"226",226,"PV22_D_20_O2",214.104894000938,-0.0115670778611633,20.0742040816327,"PV22_D","P. verrucosa","22",1,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.00659323438086308,"0",-0.000109881346371702,-0.00648335303449138,12.542356345945,NA
"227",227,"PV24_D_20_O2",210.138646378987,-0.0101959099437149,20.0370612244898,"PV24_D","P. verrucosa","24",4,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.00621950506566609,"0",-0.000109881346371702,-0.00610962371929439,10.1110550172647,NA
"228",228,"PV4_D_20_O2",180.420299067991,-0.00837821237585942,20.1530816326531,"PV4_D","P. verrucosa","4",6,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.00506881848739495,"0",-0.000109881346371702,-0.00495893714102325,8.48885426808832,NA
"229",229,"PV5_D_20_O2",208.973495209059,-0.00854050522648082,20.1988163265306,"PV5_D","P. verrucosa","5",10,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.0052097081881533,"0",-0.000109881346371702,-0.0050998268417816,17.1002297209915,NA
"230",230,"PV9_D_20_O2",185.951783001422,-0.0113690611664296,20.2010408163265,"PV9_D","P. verrucosa","9",3,"D3",20,2021-03-24 04:06:00,2021-03-24 04:26:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.00704881792318635,"0",-0.000109881346371702,-0.00693893657681465,13.2756267998453,NA
"233",233,"PV10_D_22_O2",196.696094934144,-0.0144104103343465,22.1609795918367,"PV10_D","P. verrucosa","10",7,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.0088624023556231,"0",-0.000461533000320333,-0.00840086935530276,13.4386037005408,NA
"234",234,"PV18_D_22_O2",205.518016982164,-0.0142550826129773,21.9568571428571,"PV18_D","P. verrucosa","18",9,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.00890942663311081,"0",-0.000461533000320333,-0.00844789363279048,22.2897934477508,NA
"235",235,"PV20_D_22_O2",208.694538424947,-0.012960200845666,22.0110612244898,"PV20_D","P. verrucosa","20",2,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.00790572251585626,"0",-0.000461533000320333,-0.00744418951553593,26.7016213380455,NA
"236",236,"PV22_D_22_O2",217.299453712758,-0.0145090221543162,22.0162448979592,"PV22_D","P. verrucosa","22",1,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.00827014262796023,"0",-0.000461533000320333,-0.0078086096276399,15.1061285719295,NA
"237",237,"PV24_D_22_O2",205.140281210802,-0.0110062979094077,21.9207551020408,"PV24_D","P. verrucosa","24",4,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.0067138417247387,"0",-0.000461533000320333,-0.00625230872441836,10.3471900074428,NA
"238",238,"PV4_D_22_O2",178.270294547179,-0.00963119962067334,22.0567346938776,"PV4_D","P. verrucosa","4",6,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.00582687577050737,"0",-0.000461533000320333,-0.00536534277018704,9.1845513623633,NA
"239",239,"PV5_D_22_O2",201.17479371791,-0.00830383569918459,22.0771020408163,"PV5_D","P. verrucosa","5",10,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.0050653397765026,"0",-0.000461533000320333,-0.00460380677618227,15.4370248061739,NA
"240",240,"PV9_D_22_O2",183.240891660413,-0.0116360318949344,22.1126734693878,"PV9_D","P. verrucosa","9",3,"D3",22,2021-03-24 04:41:00,2021-03-24 05:01:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.00721433977485933,"0",-0.000461533000320333,-0.006752806774539,12.9195218313121,NA
"243",243,"PV10_D_24_O2",192.210699396486,-0.0173302597402597,24.3141,"PV10_D","P. verrucosa","10",7,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.0106581097402597,"0",-0.000733497629877419,-0.0099246121103823,15.8760865563072,NA
"244",244,"PV18_D_24_O2",203.948215071712,-0.0158162385544121,24.14142,"PV18_D","P. verrucosa","18",9,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.00988514909650756,"0",-0.000733497629877419,-0.00915165146663014,24.1466606664188,NA
"245",245,"PV20_D_24_O2",206.890677291143,-0.0154015436350376,24.23906,"PV20_D","P. verrucosa","20",2,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.00939494161737294,"0",-0.000733497629877419,-0.00866144398749552,31.0678008817654,NA
"246",246,"PV22_D_24_O2",205.342957244607,-0.0179043345543345,24.26382,"PV22_D","P. verrucosa","22",1,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.0102054706959707,"0",-0.000733497629877419,-0.00947197306609325,18.3239846514781,NA
"247",247,"PV24_D_24_O2",202.707861571295,-0.0127679502814259,24.17066,"PV24_D","P. verrucosa","24",4,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.0077884496716698,"0",-0.000733497629877419,-0.00705495204179238,11.6755157954253,NA
"248",248,"PV4_D_24_O2",174.253296843854,-0.0114490637269707,24.17588,"PV4_D","P. verrucosa","4",6,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.00692668355481727,"0",-0.000733497629877419,-0.00619318592493985,10.6016775927799,NA
"249",249,"PV5_D_24_O2",199.063893883357,-0.00968007440639015,24.2643,"PV5_D","P. verrucosa","5",10,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.00590484538789799,"0",-0.000733497629877419,-0.00517134775802057,17.34004650997,NA
"250",250,"PV9_D_24_O2",179.739142925898,-0.0142028189457601,24.32692,"PV9_D","P. verrucosa","9",3,"D3",24,2021-03-24 05:15:00,2021-03-24 05:35:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.00880574774637126,"0",-0.000733497629877419,-0.00807225011649384,15.4438909759821,NA
"253",253,"PV10_D_28_O2",178.259317160037,-0.022750092506938,28.2759387755102,"PV10_D","P. verrucosa","10",7,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.0139913068917669,"0",-0.00110673940652832,-0.0128845674852386,20.6110330923905,NA
"254",254,"PV18_D_28_O2",186.739133635084,-0.0189416088180112,28.0611836734694,"PV18_D","P. verrucosa","18",9,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.011838505511257,"0",-0.00110673940652832,-0.0107317661047287,28.3157980204068,NA
"255",255,"PV20_D_28_O2",193.748652507003,-0.0185233753501401,28.2094081632653,"PV20_D","P. verrucosa","20",2,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.0112992589635855,"0",-0.00110673940652832,-0.0101925195570571,36.5596277640669,NA
"256",256,"PV22_D_28_O2",187.982560110239,-0.0202431365146482,28.2214897959184,"PV22_D","P. verrucosa","22",1,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.0115385878133495,"0",-0.00110673940652832,-0.0104318484068212,20.1809093796314,NA
"257",257,"PV24_D_28_O2",188.887374682875,-0.0158968816067654,28.1428775510204,"PV24_D","P. verrucosa","24",4,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.00969709778012689,"0",-0.00110673940652832,-0.00859035837359857,14.216519727586,NA
"258",258,"PV4_D_28_O2",160.30678826458,-0.0136962778568042,28.068,"PV4_D","P. verrucosa","4",6,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.00828624810336654,"0",-0.00110673940652832,-0.00717950869683822,12.2900938872068,NA
"259",259,"PV5_D_28_O2",183.717114208338,-0.0116000382974068,28.1994489795918,"PV5_D","P. verrucosa","5",10,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.00707602336141815,"0",-0.00110673940652832,-0.00596928395488983,20.0156064245477,NA
"260",260,"PV9_D_28_O2",164.760994334975,-0.0174721674876847,28.2845510204082,"PV9_D","P. verrucosa","9",3,"D3",28,2021-03-24 05:56:00,2021-03-24 06:16:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.0108327438423645,"0",-0.00110673940652832,-0.00972600443583619,18.6078664525096,NA
"263",263,"PV10_D_30_O2",170.941982758621,-0.0244999999999999,30.0036326530612,"PV10_D","P. verrucosa","10",7,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.0150674999999999,"0",-0.00129718027672497,-0.013770319723275,22.0279427954708,NA
"264",264,"PV18_D_30_O2",178.044728516058,-0.0221885544121222,29.8315102040816,"PV18_D","P. verrucosa","18",9,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.0138678465075764,"0",-0.00129718027672497,-0.0125706662308514,33.167741683999,NA
"265",265,"PV20_D_30_O2",181.270956261726,-0.0202447232645404,29.9669183673469,"PV20_D","P. verrucosa","20",2,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.0123492811913696,"0",-0.00129718027672497,-0.0110521009146447,39.6428668287957,NA
"266",266,"PV22_D_30_O2",178.527583203777,-0.0217696772068512,30.01,"PV22_D","P. verrucosa","22",1,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.0124087160079052,"0",-0.00129718027672497,-0.0111115357311802,21.4957969972856,NA
"267",267,"PV24_D_30_O2",179.608173454082,-0.0192869234693878,29.9631428571429,"PV24_D","P. verrucosa","24",4,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.0117650233163266,"0",-0.00129718027672497,-0.0104678430396016,17.3236424611968,NA
"268",268,"PV4_D_30_O2",154.825733868922,-0.0156249894291755,29.9628163265306,"PV4_D","P. verrucosa","4",6,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.00945311860465118,"0",-0.00129718027672497,-0.0081559383279262,13.9615748125808,NA
"269",269,"PV5_D_30_O2",174.76563810064,-0.0139238959565676,29.9580816326531,"PV5_D","P. verrucosa","5",10,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.00849357653350623,"0",-0.00129718027672497,-0.00719639625678126,24.1302367653041,NA
"270",270,"PV9_D_30_O2",155.832505251304,-0.0196503437648174,30.0588571428571,"PV9_D","P. verrucosa","9",3,"D3",30,2021-03-24 06:31:00,2021-03-24 06:51:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.0121832131341868,"0",-0.00129718027672497,-0.0108860328574618,20.8272417461493,NA
"273",273,"PV10_D_32_O2",157.729115651147,-0.0279958805668016,31.9251632653061,"PV10_D","P. verrucosa","10",7,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.017217466548583,"0",-0.00154701666600156,-0.0156704498825814,25.0675206189549,NA
"274",274,"PV18_D_32_O2",163.82673141045,-0.0247525520990637,31.7169795918367,"PV18_D","P. verrucosa","18",9,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.0154703450619148,"0",-0.00154701666600156,-0.0139233283959132,36.7367449852227,NA
"275",275,"PV20_D_32_O2",171.269504687726,-0.0263048577941816,31.8691020408163,"PV20_D","P. verrucosa","20",2,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.0160459632544508,"0",-0.00154701666600156,-0.0144989465884492,52.0063844153013,NA
"276",276,"PV22_D_32_O2",168.372591479592,-0.0247016836734694,31.9331020408163,"PV22_D","P. verrucosa","22",1,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.0140799596938776,"0",-0.00154701666600156,-0.012532943027876,24.2455773552333,NA
"277",277,"PV24_D_32_O2",169.793917070707,-0.0215251515151514,31.8686326530612,"PV24_D","P. verrucosa","24",4,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.0131303424242424,"0",-0.00154701666600156,-0.0115833257582408,19.1696983980544,NA
"278",278,"PV4_D_32_O2",143.124711921388,-0.0174616798418973,31.8083469387755,"PV4_D","P. verrucosa","4",6,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.0105643163043479,"0",-0.00154701666600156,-0.0090172996383463,15.4360784064733,NA
"279",279,"PV5_D_32_O2",165.17156914361,-0.0150060342555995,31.8721632653061,"PV5_D","P. verrucosa","5",10,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.00915368089591569,"0",-0.00154701666600156,-0.00760666422991413,25.5059063331921,NA
"280",280,"PV9_D_32_O2",146.392242586735,-0.0203968724489796,31.9740816326531,"PV9_D","P. verrucosa","9",3,"D3",32,2021-03-24 07:04:00,2021-03-24 07:24:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.0126460609183674,"0",-0.00154701666600156,-0.0110990442523658,21.2347767843435,NA
"283",283,"PV10_D_34_O2",145.39809301446,-0.0291288320355951,34.0326734693878,"PV10_D","P. verrucosa","10",7,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.017914231701891,"0",-0.00168057749196142,-0.0162336542099296,25.9684606809359,NA
"284",284,"PV18_D_34_O2",155.307819538462,-0.0280656923076924,33.8292448979592,"PV18_D","P. verrucosa","18",9,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.0175410576923077,"0",-0.00168057749196142,-0.0158604802003463,41.8479260055605,NA
"285",285,"PV20_D_34_O2",161.297403492647,-0.0284947359625669,34.1435714285714,"PV20_D","P. verrucosa","20",2,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.0173817889371658,"0",-0.00168057749196142,-0.0157012114452044,56.3187975915268,NA
"286",286,"PV22_D_34_O2",152.754067670097,-0.0277470585852038,33.9720816326531,"PV22_D","P. verrucosa","22",1,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.0158158233935662,"0",-0.00168057749196142,-0.0141352459016048,27.3453088536606,NA
"287",287,"PV24_D_34_O2",156.095468876529,-0.0238339488320356,33.892306122449,"PV24_D","P. verrucosa","24",4,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.0145387087875417,"0",-0.00168057749196142,-0.0128581312955803,21.2794238928745,NA
"288",288,"PV4_D_34_O2",135.167724153846,-0.0206612478632479,34.0043469387755,"PV4_D","P. verrucosa","4",6,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.012500054957265,"0",-0.00168057749196142,-0.0108194774653036,18.5210993501071,NA
"289",289,"PV5_D_34_O2",153.088949057223,-0.0181117213883677,33.9045306122449,"PV5_D","P. verrucosa","5",10,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.0110481500469043,"0",-0.00168057749196142,-0.00936757255494288,31.410408154489,NA
"290",290,"PV9_D_34_O2",135.12421935518,-0.0249781994362227,34.1022857142857,"PV9_D","P. verrucosa","9",3,"D3",34,2021-03-24 07:38:00,2021-03-24 07:58:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.0154864836504581,"0",-0.00168057749196142,-0.0138059061584967,26.4135657913772,NA
"293",293,"PV10_D_36_O2",140.512814735043,-0.0271456752136753,36.2284693877551,"PV10_D","P. verrucosa","10",7,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.0166945902564103,"0",-0.00148824148670222,-0.0152063487697081,24.3251128193445,NA
"294",294,"PV18_D_36_O2",146.235528037767,-0.0235534893267651,35.9717959183673,"PV18_D","P. verrucosa","18",9,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.0147209308292282,"0",-0.00148824148670222,-0.013232689342526,34.9144917093055,NA
"295",295,"PV20_D_36_O2",150.052613217338,-0.024754242979243,36.0862244897959,"PV20_D","P. verrucosa","20",2,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.0151000882173382,"0",-0.00148824148670222,-0.013611846730636,48.824439027838,NA
"296",296,"PV22_D_36_O2",151.077638242933,-0.0281105118411,36.2595,"PV22_D","P. verrucosa","22",1,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.016022991749427,"0",-0.00148824148670222,-0.0145347502627248,28.1181691363368,NA
"297",297,"PV24_D_36_O2",147.55598984534,-0.021585286935287,35.9250816326531,"PV24_D","P. verrucosa","24",4,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.0131670250305251,"0",-0.00148824148670222,-0.0116787835438228,19.3276752172811,NA
"298",298,"PV4_D_36_O2",128.375942635468,-0.0196337684729064,36.1159591836735,"PV4_D","P. verrucosa","4",6,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.0118784299261084,"0",-0.00148824148670222,-0.0103901884394062,17.7862297850977,NA
"299",299,"PV5_D_36_O2",144.55294391453,-0.0167302393162393,36.1188571428571,"PV5_D","P. verrucosa","5",10,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","enriched",44.32,0.61,2,1.297819663,1.073633333,-0.010205445982906,"0",-0.00148824148670222,-0.00871720449620375,29.2296589736503,NA
"300",300,"PV9_D_36_O2",129.951548891129,-0.0199037298387097,36.3026734693878,"PV9_D","P. verrucosa","9",3,"D3",36,2021-03-24 08:22:00,2021-03-24 08:42:00,"dark","enriched",71.14,0.62,3,2.693972533,1.881656667,-0.0123403125,"0",-0.00148824148670222,-0.0108520710132978,20.7622656848228,NA
"303",303,"PV10_D_37_O2",136.307907860963,-0.0228277998472116,36.9787755102041,"PV10_D","P. verrucosa","10",7,"D3",37,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","enriched",86.17,0.615,3,2.162370107,2.250466667,-0.0140390969060351,"0",-0.00150148010176844,-0.0125376168042667,20.0560271152686,NA
"304",304,"PV18_D_37_O2",142.026642337662,-0.0220192666157372,36.6884897959184,"PV18_D","P. verrucosa","18",9,"D3",37,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",102.05,0.625,5,1.070591979,1.36441,-0.0137620416348357,"0",-0.00150148010176844,-0.0122605615330673,32.3495294809055,NA
"305",305,"PV20_D_37_O2",147.297202932487,-0.0219509355509355,36.9135102040816,"PV20_D","P. verrucosa","20",2,"D3",37,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",69.73,0.61,5,1.034174348,1.00365,-0.0133900706860707,"0",-0.00150148010176844,-0.0118885905843022,42.6432781382832,NA
"306",306,"PV22_D_37_O2",143.755737216749,-0.0258337684729064,36.9301632653061,"PV22_D","P. verrucosa","22",1,"D3",37,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",82.12,0.57,6,1.751621862,1.8609,-0.0147252480295566,"0",-0.00150148010176844,-0.0132237679277882,25.582011145165,NA
"307",307,"PV24_D_37_O2",141.769614558486,-0.0202483258562206,36.7878979591837,"PV24_D","P. verrucosa","24",4,"D3",37,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","control",57.14,0.61,6,1.911890625,2.175306667,-0.0123514787722946,"0",-0.00150148010176844,-0.0108499986705261,17.9560867469607,NA
"308",308,"PV4_D_37_O2",121.70824570634,-0.0170374749721913,36.823612244898,"PV4_D","P. verrucosa","4",6,"D3",37,2021-03-24 08:55:00,2021-03-24 09:15:00,"dark","enriched",58.84,0.605,1,2.487501168,2.103013333,-0.0103076723581757,"0",-0.00150148010176844,-0.00880619225640729,15.0746985887351,NA
